Year,Month,date,any_images,any_cloudfree,image_ID,image_ID_20,have,get,priority,Greensboro,notes,clouds
2017,October,10/17/2017,,TRUE,20171017_131703_1_0c82,20171017_131703_1_0c,,,,,teeny bit on left,
,,10/17/2017,,TRUE,20171017_131703_0c82,20171017_131703_0c82,,get,bad,TRUE,not working,
,,10/17/2017,,TRUE,20171017_131704_0c82,20171017_131704_0c82,,get,bad,TRUE,not working,
,,10/17/2017,,TRUE,20171017_131705_0c82,20171017_131705_0c82,,get,bad,TRUE,not working,
,,10/17/2017,,TRUE,20171017_131706_1_0c82,20171017_131706_1_0c,,get,bad,TRUE,not working,
,,10/17/2017,,TRUE,20171017_131706_0c82,20171017_131706_0c82,,get,bad,TRUE,not working,
,,10/17/2017,,TRUE,20171017_155451_0f2e,20171017_155451_0f2e,,,,TRUE,teeny bit on top of AOI,
,,10/17/2017,,TRUE,20171017_155450_0f2e,20171017_155450_0f2e,TRUE,,,TRUE,,
,,10/17/2017,,TRUE,20171017_155449_0f2e,20171017_155449_0f2e,TRUE,,,TRUE,,
,,10/17/2017,,TRUE,20171017_155448_0f2e,20171017_155448_0f2e,TRUE,,,TRUE,,
,,10/17/2017,,TRUE,20171017_155447_0f2e,20171017_155447_0f2e,,,,TRUE,small bit on bottom of AOI,
,,10/17/2017,,TRUE,20171017_131702_0c82,20171017_131702_0c82,,,,,,
,,10/17/2017,,TRUE,20171017_131701_1_0c82,20171017_131701_1_0c,,,,,,
,,10/17/2017,,TRUE,20171017_131701_0c82,20171017_131701_0c82,,,,,very left edget of AOI,
2017,October,10/18/2017,,TRUE,20171018_195107_0c43,20171018_195107_0c43,,get,bad,TRUE,no SR asset,
,,10/18/2017,,TRUE,20171018_195106_0c43,20171018_195106_0c43,,get,bad,TRUE,no SR asset,
,,10/18/2017,,TRUE,20171018_195105_0c43,20171018_195105_0c43,,get,bad,TRUE,no SR asset,
,,10/18/2017,,TRUE,20171018_195105_1_0c43,20171018_195105_1_0c,,get,bad,TRUE,doesnt work,
,,10/18/2017,,TRUE,20171018_195104_0c43,20171018_195104_0c43,,get,bad,TRUE,no SR asset,
,,10/18/2017,,TRUE,20171018_195103_0c43,20171018_195103_0c43,,,,,,
,,10/18/2017,,TRUE,20171018_193922_0c37,20171018_193922_0c37,,,,,tiniest bit on left edge of AOI,
,,10/18/2017,,TRUE,20171018_193922_1_0c37,20171018_193922_1_0c,,,,,tiniest bit on left edge of AOI,
,,10/18/2017,,TRUE,20171018_150849_1042,20171018_150849_1042,,,,,,
,,10/18/2017,,TRUE,20171018_150848_1042,20171018_150848_1042,,,,,,
,,10/18/2017,,TRUE,20171018_150847_1042,20171018_150847_1042,TRUE,,,TRUE,,
,,10/18/2017,,TRUE,20171018_150846_1042,20171018_150846_1042,TRUE,,,TRUE,,
,,10/18/2017,,TRUE,20171018_150845_1042,20171018_150845_1042,TRUE,,regular,TRUE,,
,,10/18/2017,,TRUE,20171018_150844_1042,20171018_150844_1042,,get,low,TRUE,tiny bit on top of AOI,
,,10/18/2017,,TRUE,20171018_141939_1_0c0b,20171018_141939_1_0c,,get,low,TRUE,very small bit at right of AOI,
,,10/18/2017,,TRUE,20171018_141939_0c0b,20171018_141939_0c0b,,get,bad,TRUE,no SR image,
,,10/18/2017,,TRUE,20171018_141938_0c0b,20171018_141938_0c0b,,get,bad,TRUE,no SR image,
,,10/18/2017,,TRUE,20171018_141937_0c0b,20171018_141937_0c0b,,get,bad,TRUE,,
,,10/18/2017,,TRUE,20171018_141936_0c0b,20171018_141936_0c0b,,get,bad,TRUE,,
,,10/18/2017,,TRUE,20171018_141936_1_0c0b,20171018_141936_1_0c,,get,low,TRUE,very small bit at bottom of AOI,
2017,October,10/19/2017,,TRUE,20171019_150927_103c,20171019_150927_103c,,,,,very bottom of AOI,
,,10/19/2017,,TRUE,20171019_150926_103c,20171019_150926_103c,,,,,,a visible cloud
,,10/19/2017,,TRUE,20171019_150925_103c,20171019_150925_103c,,get,low,,,
,,10/19/2017,,TRUE,20171019_150924_103c,20171019_150924_103c,,get,low,,,
2017,October,10/20/2017,,TRUE,20171020_150719_1014,20171020_150719_1014,TRUE,,,TRUE,,
,,10/20/2017,,TRUE,20171020_155434_0f2e,20171020_155434_0f2e,TRUE,,,TRUE,,
,,10/20/2017,,TRUE,20171020_155435_0f2e,20171020_155435_0f2e,TRUE,,,TRUE,,
,,10/20/2017,,TRUE,20171020_155436_0f2e,20171020_155436_0f2e,TRUE,,,TRUE,,
,,10/20/2017,,TRUE,20171020_155437_0f2e,20171020_155437_0f2e,TRUE,,regular,TRUE,,
,,10/20/2017,,TRUE,20171020_155433_0f2e,20171020_155433_0f2e,,get,low,TRUE,very bottom of AOI,
,,10/20/2017,,TRUE,20171020_150722_1014,20171020_150722_1014,,get,low,TRUE,very bottom of AOI,
,,10/20/2017,,TRUE,20171020_150721_1014,20171020_150721_1014,,get,low,TRUE,different resolution,
,,10/20/2017,,TRUE,20171020_150718_1014,20171020_150718_1014,,get,low,TRUE,very top of AOI,
2017,October,10/21/2017,,TRUE,20171021_150810_102c,20171021_150810_102c,TRUE,,,,,
,,10/21/2017,,TRUE,20171021_150811_102c,20171021_150811_102c,TRUE,,,,,
,,10/21/2017,,TRUE,20171021_150812_102c,20171021_150812_102c,TRUE,,,,,
,,10/21/2017,,TRUE,20171021_180735_0c65,20171021_180735_0c65,,,,,very right side of AOI,
,,10/21/2017,,TRUE,20171021_180734_1_0c65,20171021_180734_1_0c,,get,low,,,
,,10/21/2017,,TRUE,20171021_180734_0c65,20171021_180734_0c65,,get,low,,,
,,10/21/2017,,TRUE,20171021_180733_0c65,20171021_180733_0c65,,get,low,,,
,,10/21/2017,,TRUE,20171021_180732_1_0c65,20171021_180732_1_0c,,get,low,,,
,,10/21/2017,,TRUE,20171021_180732_0c65,20171021_180732_0c65,,get,low,,,
,,10/21/2017,,TRUE,20171021_180731_0c65,20171021_180731_0c65,,get,low,,,
,,10/21/2017,,TRUE,20171021_180730_1_0c65,20171021_180730_1_0c,,,,,very left side of AOI,
,,10/21/2017,,TRUE,20171021_150809_102c,20171021_150809_102c,,,,,very top of AOI,
,,10/21/2017,,TRUE,20171021_150813_102c,20171021_150813_102c,,get,low,,,
,,10/21/2017,,TRUE,20171021_150814_102c,20171021_150814_102c,,get,low,,,
2017,October,10/22/2017,,TRUE,20171022_150817_101d,20171022_150817_101d,,get,low,TRUE,very right side of AOI,
,,10/22/2017,,TRUE,20171022_150815_101d,20171022_150815_101d,,get,low,TRUE,very right side of AOI,
2017,October,10/24/2017,,TRUE,20171024_155438_104d,20171024_155438_104d,,,,TRUE,,visible clouds
,,10/24/2017,,TRUE,20171024_155435_104d,20171024_155435_104d,,,,TRUE,,visible clouds
2017,October,10/26/2017,,TRUE,20171026_150837_102d,20171026_150837_102d,,,,TRUE,,visible wispy clouds
2017,October,10/27/2017,,TRUE,20171027_155440_104d,20171027_155440_104d,,,,,very top of AOI,
,,10/27/2017,,TRUE,20171027_155439_104d,20171027_155439_104d,,,,,,
,,10/27/2017,,TRUE,20171027_155438_104d,20171027_155438_104d,,,,,,
,,10/27/2017,,TRUE,20171027_155437_104d,20171027_155437_104d,,,,,,
,,10/27/2017,,TRUE,20171027_155436_104d,20171027_155436_104d,,,,,very bottom of AOI,
2017,October,10/28/2017,,TRUE,20171028_150909_101b,20171028_150909_101b,,get,low,TRUE,very right edge of AOI,
2017,October,10/30/2017,,TRUE,20171030_155253_0f4d,20171030_155253_0f4d,,,,TRUE,,visible clouds
2017,October,10/31/2017,,TRUE,20171031_151228_1031,20171031_151228_1031,,,,,,
,,10/31/2017,,TRUE,20171031_151227_1031,20171031_151227_1031,,,,,,
,,10/31/2017,,TRUE,20171031_151226_1031,20171031_151226_1031,,,,,very top of AOI,
,,10/31/2017,,TRUE,20171031_155246_0f2d,20171031_155246_0f2d,,get,low,TRUE,very bottom of AOI,
,,10/31/2017,,TRUE,20171031_155250_0f2d,20171031_155250_0f2d,TRUE,,,TRUE,,
,,10/31/2017,,TRUE,20171031_155249_0f2d,20171031_155249_0f2d,TRUE,,,TRUE,,
,,10/31/2017,,TRUE,20171031_155248_0f2d,20171031_155248_0f2d,TRUE,,,TRUE,,
,,10/31/2017,,TRUE,20171031_155247_0f2d,20171031_155247_0f2d,TRUE,,,TRUE,,
,,10/31/2017,,TRUE,20171031_151229_1031,20171031_151229_1031,,,,,,
,,10/31/2017,,TRUE,20171031_151230_1031,20171031_151230_1031,,,,,,
2017,November,11/2/2017,,TRUE,20171102_155419_104d,20171102_155419_104d,,,,,,
,,11/2/2017,,TRUE,20171102_155418_104d,20171102_155418_104d,,,,,,
,,11/2/2017,,TRUE,20171102_155417_104d,20171102_155417_104d,,,,,,
,,11/2/2017,,TRUE,20171102_155244_0f4d,20171102_155244_0f4d,,,,TRUE,,visible clouds
,,11/2/2017,,TRUE,20171102_155242_0f4d,20171102_155242_0f4d,,,,TRUE,,visible clouds
,,11/2/2017,,TRUE,20171102_155240_0f4d,20171102_155240_0f4d,,,,TRUE,,visible clouds
2017,November,11/3/2017,,TRUE,20171103_150959_0f35,20171103_150959_0f35,,,,,,visible clouds
,,11/3/2017,,TRUE,20171103_150956_0f35,20171103_150956_0f35,,,,TRUE,,visible wispy clouds
2017,November,11/4/2017,TRUE,FALSE,,,,,,,,
2017,November,11/5/2017,TRUE,FALSE,,,,,,,,
2017,November,11/10/2017,TRUE,FALSE,,,,,,,,
2017,November,11/11/2017,,TRUE,20171111_155308_104d,20171111_155308_104d,,,,,very left edge of AOI,
